1 type
89.0086 -114.243 2333.76
89.0125 -114.269 2333.87
90 -114.364 2361.3
90.0011 -114.348 2361.33
90.0024 -114.362 2361.37
90.0035 -114.349 2361.4
90.0066 -114.344 2361.48
90.0092 -114.357 2361.56
90.0108 -114.408 2361.6
91 -114.463 2389.08
91.0009 -114.441 2389.1
91.0021 -114.426 2389.14
91.0041 -114.477 2389.19
91.0066 -114.433 2389.26
91.0079 -114.448 2389.3
91.0131 -114.486 2389.44
92 -114.541 2416.86
92.0007 -114.572 2416.88
92.0015 -114.565 2416.9
92.0027 -114.577 2416.93
92.0062 -114.56 2417.03
92.0111 -114.549 2417.17
92.013 -114.56 2417.22
93 -114.665 2444.64
93.0007 -114.641 2444.66
93.0017 -114.675 2444.69
93.0035 -114.635 2444.74
93.0058 -114.686 2444.8
93.0118 -114.674 2444.97
93.0159 -114.667 2445.08
94 -114.762 2472.42
94.0009 -114.781 2472.45
94.0017 -114.806 2472.47
94.004 -114.754 2472.53
94.0069 -114.756 2472.61
94.0094 -114.754 2472.68
94.0101 -114.753 2472.7
95 -114.878 2500.2
95.0009 -114.859 2500.22
95.0023 -114.868 2500.26
95.0039 -114.858 2500.31
95.0057 -114.858 2500.36
95.0095 -114.859 2500.46
95.0165 -114.872 2500.66
96 -114.958 2527.98
96.0007 -114.974 2528
96.0021 -114.95 2528.04
96.0031 -114.934 2528.07
96.0064 -114.957 2528.16
96.0127 -114.927 2528.33
96.0192 -114.963 2528.51
97 -115.048 2555.76
97.0008 -115.055 2555.78
97.0021 -115.043 2555.82
97.0036 -115.04 2555.86
97.0058 -115.033 2555.92
97.0131 -115.023 2556.12
97.02 -115.037 2556.31
98 -115.128 2583.54
98.0009 -115.126 2583.56
98.0022 -115.157 2583.6
98.0045 -115.14 2583.66
98.0063 -115.13 2583.71
98.013 -115.131 2583.9
98.0183 -115.119 2584.05
99 -115.219 2611.32
99.001 -115.233 2611.35
99.0017 -115.228 2611.37
99.0031 -115.238 2611.41
